stock,company_name,sector,industry,sub_industry,com_type_code,combo_rank_in_stock,combo,feature,test_rel_score,val_rel_score
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,4,"overnight_return,true_range",overnight_return,0.0404357678245995,-0.0057907210565846
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,4,"overnight_return,true_range",true_range,0.0404357678245995,-0.0057907210565846
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,5,"gap_open,true_range",gap_open,0.0404357678245995,-0.0057907210565846
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,5,"gap_open,true_range",true_range,0.0404357678245995,-0.0057907210565846
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,6,"ma_10_gap,rolling_min_20_gap",ma_10_gap,0.0386771245474913,0.005255739954724
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,6,"ma_10_gap,rolling_min_20_gap",rolling_min_20_gap,0.0386771245474913,0.005255739954724
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,7,"upper_shadow,volatility_ratio",upper_shadow,0.0382395168865939,-0.0669002023492515
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,7,"upper_shadow,volatility_ratio",volatility_ratio,0.0382395168865939,-0.0669002023492515
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,8,"momentum_5,rolling_min_20_gap",momentum_5,0.0379763638598271,-0.0097285805507494
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,BH,8,"momentum_5,rolling_min_20_gap",rolling_min_20_gap,0.0379763638598271,-0.0097285805507494
