score,policy,seeds,obs_coverage_mean,day_coverage_mean,rel_score_mean,q90_abs_error_mean,daily_q90_median_mean,daily_q90_p90_mean,daily_q90_max_mean,days_ge_3p5_mean,days_ge_5_mean,days_ge_7_mean,days_ge_8_mean
risk_hybrid,coverage_q50,3,0.4849231549469692,0.9994941831057158,0.005832648315909868,0.031055024895333332,0.027201542933333336,0.04187364636123334,0.07093681650666667,126.0,24.333333333333332,1.0,0.0
risk_hybrid,coverage_q60,3,0.5897113624837379,1.0,0.002946605970417108,0.03330754292383334,0.029140391037500005,0.04594546611626669,0.07290339376333332,166.66666666666666,40.666666666666664,3.6666666666666665,0.0
risk_hybrid,coverage_q70,3,0.6970904720954335,1.0,0.005513351486721015,0.035815427332666676,0.030676685861333337,0.049648212122999996,0.0753768902,209.0,60.666666666666664,5.666666666666667,0.0
risk_hybrid,coverage_q80,3,0.8060186103944785,1.0,0.0053088226671299905,0.03873762911666667,0.03270859572566668,0.05432201526806668,0.07985975289666668,264.6666666666667,88.66666666666667,8.333333333333334,0.3333333333333333
risk_hybrid,coverage_q90,3,0.9129236400520385,1.0,0.007039210667521519,0.042693881258000006,0.03483861426600001,0.06040525654633335,0.08686064233333335,324.0,129.66666666666666,14.333333333333334,2.0
risk_input_noise,abstain_zero_calibrated_p90_3p5,3,0.39029459107847675,1.0,0.00017204130216041946,0.050279560934000024,0.037444236363333334,0.06818783269733335,0.07071373762333334,360.0,170.66666666666666,1.0,0.0
risk_input_noise,abstain_zero_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_input_noise,abstain_zero_q30,3,0.13291878900134504,1.0,-0.00012136856915771303,0.05023641936666668,0.03735571954866668,0.0683981948,0.06994788696333333,357.6666666666667,169.66666666666666,0.0,0.0
risk_input_noise,abstain_zero_q40,3,0.19770787854733082,1.0,0.00012052580188881556,0.05022848369333336,0.037316673806666666,0.06836475686666667,0.06995335069999999,358.3333333333333,170.33333333333334,0.3333333333333333,0.0
risk_input_noise,abstain_zero_q50,3,0.2753522524310379,1.0,0.0002820600276064085,0.050235434793333346,0.03737804799666667,0.06817479373333334,0.0701375086,358.6666666666667,170.33333333333334,1.0,0.0
risk_input_noise,abstain_zero_q60,3,0.3724890300103636,1.0,1.5168431140244465e-05,0.05028271293400002,0.037398473196666664,0.068205145364,0.07063183149433334,359.3333333333333,171.0,1.0,0.0
risk_input_noise,abstain_zero_q70,3,0.4855681241868977,1.0,0.0013036870891576235,0.05021821259200001,0.03741247239666667,0.06809500093733334,0.07226084284,361.0,170.66666666666666,1.0,0.0
risk_input_noise,abstain_zero_q80,3,0.6213975436043306,1.0,0.0023973298564555767,0.050184425976666676,0.03729713396333335,0.06813282058666668,0.07310353160333334,360.3333333333333,172.0,3.3333333333333335,0.0
risk_input_noise,abstain_zero_q90,3,0.7869286234041146,1.0,0.0053086850855554495,0.04999783453666668,0.03704193548433333,0.06735241486666668,0.07780323803333333,360.6666666666667,170.0,7.666666666666667,0.0
risk_input_noise,calibrated_p90_3p5,3,0.39029459107847675,1.0,0.004413043399474496,0.02991974744333334,0.025758172106666675,0.04125810238333335,0.06999882321333332,102.33333333333333,23.333333333333332,0.6666666666666666,0.0
risk_input_noise,coverage_q100,3,1.0,1.0,0.024767544102766898,0.048572927619666674,0.03690483848566667,0.06393347929053333,0.09442062846666667,363.3333333333333,166.66666666666666,29.0,7.666666666666667
risk_input_noise,coverage_q30,3,0.13291878900134504,0.9782498735457764,0.004285924532733872,0.024633723915333333,0.020145548289000004,0.03400072016430001,0.05526829244,10.333333333333334,1.3333333333333333,0.0,0.0
risk_input_noise,coverage_q40,3,0.19770787854733082,0.9954476479514417,0.004793936396515856,0.02605772384366667,0.02187165706666667,0.035562307539133343,0.06578374946666667,28.0,4.666666666666667,0.0,0.0
risk_input_noise,coverage_q50,3,0.2753522524310379,1.0,0.004078064496178054,0.02784475604466667,0.023148642721000003,0.03861132417716667,0.06501826696666667,61.333333333333336,9.333333333333334,0.0,0.0
risk_input_noise,coverage_q60,3,0.3724890300103636,1.0,0.004101887351618945,0.029576814323333343,0.025274361568333337,0.04108360218933335,0.0699613897,95.0,21.0,0.3333333333333333,0.0
risk_input_noise,coverage_q70,3,0.4855681241868977,1.0,0.0036392717331364213,0.031749716748333344,0.027638090806666668,0.04219553552506667,0.07169398051999999,131.33333333333334,31.333333333333332,2.0,0.0
risk_input_noise,coverage_q80,3,0.6213975436043306,1.0,0.004737256587618995,0.03499425824333334,0.029974271746766673,0.04919027825866668,0.07502296610666666,200.66666666666666,59.333333333333336,5.666666666666667,0.0
risk_input_noise,coverage_q90,3,0.7869286234041146,1.0,0.00618175776294753,0.039219165726,0.03274300638166666,0.056674050808000004,0.07970927093333334,275.6666666666667,101.0,11.666666666666666,0.3333333333333333
