code,feature_sector,top_error_appearances,mean_abs_error,median_abs_error,max_abs_error,mean_actual_return,mean_predicted_return,sign_mismatch_share,mean_feature_momentum_20,mean_feature_volatility_20,mean_feature_volume_ratio_20
VHC,Thực phẩm và đồ uống,4,0.04564436741929963,0.0425077407562639,0.0594299766235053,0.016085552051663374,0.00015617294411639996,0.25,-0.010834176195739828,0.0190299230401667,1.7428388338339385
PHR,Hóa chất,4,0.044723443525072,0.043516018486116,0.0621517058971221,0.0450745378620922,0.0003510943370202,0.5,-0.013457620503149423,0.016398784361700076,1.4574948432201524
VIC,Bất động sản,4,0.039622505384613725,0.03845265298150475,0.0531685378518887,0.00737007427960635,0.002151116539607725,0.5,0.21117897503845587,0.0206683072066746,1.105379426637246
EIB,Ngân hàng,4,0.0380999998888,0.0379493612563237,0.048054537270217995,0.03698430769145485,-0.0011156921973451501,0.75,0.017605773983556998,0.01589319860659265,2.047340501854012
VPB,Ngân hàng,3,0.06269530319938586,0.0657866549445315,0.06647331250133,0.019135256608327236,0.0002977233719623666,0.6666666666666666,0.060234477614360536,0.0125180885599007,0.7799736572410919
DBC,Thực phẩm và đồ uống,3,0.057542749874604095,0.0643563068006186,0.0650480936747043,0.013269492735465335,-0.0009078613560025668,1.0,-0.056353770254052804,0.028531927665552067,1.4001904488830454
REE,"Điện, nước & xăng dầu khí đốt",3,0.053679992968682165,0.0487923312466592,0.0682905865251086,-0.007615890353918066,0.0005370449313583667,0.3333333333333333,0.10281038282864713,0.018194583220580034,1.3979681965184108
DGW,Bán lẻ,3,0.05073457936911523,0.042999331373721195,0.0705894123530015,0.024381909519433965,-0.0006093402625992666,1.0,0.07119320322015484,0.016281887331184734,0.990852005535193
BWE,"Điện, nước & xăng dầu khí đốt",3,0.04803841722120217,0.046024246781598596,0.0663671506335959,-0.0267544848223527,0.0001346962332414667,0.3333333333333333,-0.08417121749008653,0.0184551380874093,1.151681430407612
MWG,Bán lẻ,3,0.047913879485956025,0.0447195047745481,0.054719779873266795,0.011749052753051067,0.00031502651593956667,0.6666666666666666,0.03477672303319267,0.015638147532489866,0.9186138625249121
SSI,Dịch vụ tài chính,3,0.04723600257905967,0.0507725151837803,0.0564518637402215,0.012326519936323166,-0.0010611391868829666,0.6666666666666666,0.10414548437314443,0.014141512052696835,1.0829031116868157
VND,Dịch vụ tài chính,3,0.04599351457242536,0.0499487240449525,0.0571053472813218,0.011038177957137435,-0.0016561872519862669,0.6666666666666666,0.04860432431008824,0.019151098011707866,1.6134399365563679
ANV,Thực phẩm và đồ uống,3,0.04401608995491787,0.0442430471011902,0.0480435571516864,0.0440221279859542,6.038031036333337e-06,0.6666666666666666,0.06230554546137614,0.021785828939550802,0.9071141821664659
NT2,"Điện, nước & xăng dầu khí đốt",3,0.043620396027108634,0.0482062242517713,0.050251511274837,0.044696475068728064,0.0010760790416194333,0.0,0.05702224920489407,0.017798339340602133,0.6265456098290809
CII,Xây dựng và Vật liệu,3,0.04355606856794714,0.0474218494491652,0.0477533672237768,0.043520584702491705,-3.5483865455433304e-05,0.6666666666666666,-0.004577745487947299,0.0159578923828934,0.9446500258289289
VCB,Ngân hàng,3,0.04268963944923596,0.0388809457945171,0.0518645392585313,0.008278597146272632,0.00016531720272419998,0.0,0.06868884939290486,0.017190080854129302,1.083494796356186
ACB,Ngân hàng,3,0.041038691747720124,0.03734448229806727,0.052089724340476,0.04075876126686727,-0.000279930480852856,1.0,0.08640297485453584,0.018084768760651734,1.2429199569038047
GMD,Hàng & Dịch vụ Công nghiệp,3,0.04029152956839722,0.03569804597646,0.050243916259205365,0.007137210418780633,0.00034162502318698735,0.6666666666666666,-0.06718216870868754,0.01697693343245417,0.7972485732346897
PPC,"Điện, nước & xăng dầu khí đốt",3,0.03800323248530423,0.0372500319499523,0.0462138602742925,0.007721892868479065,0.0005279005660365,0.6666666666666666,0.09972375555783315,0.02046727628281,2.0045931257002874
