stock,company_name,sector,industry,sub_industry,com_type_code,run_name,best_by_val,best_val_rel_score,best_by_test,best_test_rel_score,best_test_val_rel_score
SSI,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_ssi_expanded,"range_pct,volatility_20",0.04207127669779376,"range_pct,rolling_min_20_gap",0.0194299936492635,-0.0412924555025755
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_stb_expanded,"range_pct,volatility_ratio",0.06695600577759464,"close_low_gap,rolling_max_20_gap",0.0523251428239797,-0.0149138110763211
SZC,Công ty Cổ phần Sonadezi Châu Đức,Bất động sản,Bất động sản,Bất động sản,CT,search_szc_expanded,vwap_gap,0.02116646464602534,"upper_shadow,volatility_20",0.0701917369744979,-0.0810154883344043
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_tcb_expanded,"momentum_20,volatility_ratio",0.07602435402509511,"rolling_min_20_gap,vwap_gap",0.034345561289485,-0.0073797474506127
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,Bất động sản,Bất động sản,CT,search_tch_expanded,"close_return,signed_volume",0.06709790640895696,"volatility_10,obv_change",0.0430811100193342,-0.0009479192235231
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng,Hàng gia dụng,Đồ gia dụng một lần,CT,search_tlg_expanded,"intraday_return,vwap_gap",0.05541832166301297,"high_close_gap,obv_change",0.0626035731545644,0.0335629432919322
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_tpb_expanded,"volatility_20,vwap_gap",0.05541629778889379,"ma_20_gap,ma_50_gap",0.084533940041817,-0.0513119691705088
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vcb_expanded,"price_acceleration,volatility_10",0.10109290318061537,"overnight_return,upper_shadow",0.0512017679415482,-0.0288416166938039
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,search_vcg_expanded,"volume_ma_5,upper_shadow",0.022926986939488136,"true_range,volatility_20",0.0563826077514657,0.0116470807710583
VCI,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vci_expanded,"lower_shadow,volatility_20",0.04991876470852552,"close_position,obv_change",0.0449173879190651,-0.0098691534137671
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,search_vgc_expanded,"return_3,volatility_5",0.04459505221678295,"volume_ratio_20,momentum_20",0.0525696106948015,-0.0297261484166733
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,CT,search_vhc_expanded,"volume_ratio_5,ma_20_gap",0.009820930262355199,"intraday_return,atr_gap",0.0540588643412872,-0.0507262391539222
VHM,Công ty Cổ phần Vinhomes,Bất động sản,Bất động sản,Bất động sản,CT,search_vhm_expanded,"close_position,price_acceleration",0.06100008885993913,"return_3,return_10",0.1455474529304341,-0.0368853921840528
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vib_expanded,"volatility_5,vwap_gap",-0.013139613560567476,vwap_gap,0.0263081132249792,-0.0635971050558033
VIC,Tập đoàn Vingroup - Công ty CP,Bất động sản,Bất động sản,Bất động sản,CT,search_vic_expanded,"volatility_5,volatility_ratio",0.05043401664426006,"ma_50_gap,rolling_min_20_gap",0.0729582037129603,-0.0035163051334334
VIX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vix_expanded,"atr_14,volatility_10",0.08112373545858265,"volume_zscore_20,rolling_min_20_gap",0.0779392009136755,0.0256507158013894
VJC,Công ty Cổ phần Hàng không Vietjet,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,CT,search_vjc_expanded,"overnight_return,upper_shadow",0.061580856331581946,"return_10,momentum_20",0.0363216122266547,-0.0571255507644443
VND,Công ty Cổ phần Chứng khoán VNDIRECT,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,search_vnd_expanded,"range_pct,obv_change",0.023077116963266198,"close_position,volatility_ratio",0.0417747603652502,-0.0480735135555159
VNM,Công ty Cổ phần Sữa Việt Nam,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,CT,search_vnm_expanded,"lower_shadow,price_acceleration",0.035894419544113876,"upper_shadow,vwap_gap",0.061066279979806,-0.0177973031541245
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng,Ngân hàng,Ngân hàng,NH,search_vpb_expanded,"momentum_20,volatility_ratio",0.08878036626848551,volatility_ratio,0.0425736111155039,0.057674071746826
VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest,Bất động sản,Bất động sản,Bất động sản,CT,search_vpi_expanded,"volume_ma_20,close_low_gap",0.03184120299892468,"volatility_10,volatility_20",0.032999124335056,-0.0944719812501027
VRE,Công ty Cổ phần Vincom Retail,Bất động sản,Bất động sản,Bất động sản,CT,search_vre_expanded,"volatility_10,obv_change",0.02985088099647526,"close_return,return_10",0.1067817770065784,-0.0552759827399136
VSC,Công ty Cổ phần Container Việt Nam,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",CT,search_vsc_expanded,"intraday_return,close_low_gap",0.05158163363969248,"ma_20_gap,rolling_max_20_gap",0.0692331135275108,-0.012493516518915
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Hàng & Dịch vụ Công nghiệp,Vận tải,Chuyển phát nhanh,CT,search_vtp_expanded,"overnight_return,momentum_20",0.05378762053174635,"volume_match,volume_change",0.047643694758829,-0.0964662316862603
