n,rel_score,absE_robust,base_robust,absE_q90,DA,pred_actual_q90_ratio,market,model,fold_id,test_start,test_end,alpha_rel_score,alpha_absE_robust,selected_from_train
546,-0.0014280662592458526,0.022004216059940518,0.021972837392240763,0.02543960267212242,0.47802197802197804,0.011456851552266827,JP,seed71_train_cal,14,2021-06-16,2021-07-14,-0.0057059443551532585,0.015040024030895438,
546,0.0007598406120916668,0.021891442862397525,0.021908089518547058,0.02581522608670639,0.4652014652014652,0.009445384447612476,JP,seed71_train_cal,15,2021-07-15,2021-08-17,-1.7372923725833544e-05,0.016858450344443554,
546,0.010202018013292347,0.02141899043454032,0.02163975965231657,0.023518099664215697,0.5677655677655677,0.010117775443172468,JP,seed71_train_cal,16,2021-08-18,2021-09-15,-0.0003924073295589192,0.017183163143272395,
546,0.002805810469405645,0.027026482654036954,0.02710252720862627,0.03064084397192346,0.47619047619047616,0.017618415177100135,JP,seed71_train_cal,17,2021-09-16,2021-10-18,-0.0010970068732589766,0.020372609276819276,
546,0.004036905596216056,0.021666625329089584,0.02175444597378373,0.025766068254597485,0.48534798534798534,0.011469664376849755,JP,seed71_train_cal,18,2021-10-19,2021-11-17,0.006424739581006422,0.017553593780576193,
546,-0.003391507039720798,0.027465834368740616,0.027372998651117086,0.030255061330535682,0.47619047619047616,0.011707585593616156,JP,seed71_train_cal,19,2021-11-18,2021-12-17,-0.008767243600803276,0.01911290032148827,
546,0.005102721618078787,0.023250141170137795,0.02336938865482807,0.02720197075359465,0.48534798534798534,0.013791992015717389,JP,seed71_train_cal,20,2021-12-20,2022-01-20,-0.003517521017745606,0.018799584773660172,
546,0.007989716610705244,0.02965652267630503,0.029895378276705742,0.03517893013849971,0.4945054945054945,0.0158714359891497,JP,seed71_train_cal,21,2022-01-21,2022-02-21,-0.0033828674045197626,0.023038918830934563,
546,0.0025913277056751616,0.036145258258329704,0.03623916581273079,0.04208068767184159,0.575091575091575,0.015653686174214986,JP,seed71_train_cal,22,2022-02-22,2022-03-24,0.0069208769046288365,0.02541330653730256,
546,-0.004863217446634316,0.02480726141402556,0.02468720218166709,0.02880082730553113,0.43772893772893773,0.019977291850329693,JP,seed71_train_cal,23,2022-03-25,2022-04-22,0.0029826515582561663,0.01965675177416415,
544,0.0026966441600013713,0.029193817309624136,0.02927275551483035,0.03527020906331017,0.5128676470588235,0.01582173158217367,JP,seed71_train_cal,24,2022-04-25,2022-05-27,-0.006888054405452593,0.023283641488524152,
546,-0.004015369304783967,0.02514969370804465,0.025049112271517515,0.02976455937277933,0.5256410256410257,0.017648157836679775,JP,seed71_train_cal,25,2022-05-30,2022-06-27,-0.008048613704358054,0.019915107481210725,
546,0.003974628288867077,0.023422334841598058,0.023515801411122084,0.027277295499516185,0.5256410256410257,0.01209702896753959,JP,seed71_train_cal,26,2022-06-28,2022-07-27,-0.004744452069510796,0.017827759631472873,
546,0.0020220624236134688,0.02393515114863476,0.02398364758118987,0.02910273447741929,0.510989010989011,0.014186268391908397,JP,seed71_train_cal,27,2022-07-28,2022-08-26,-0.0009737635173783232,0.01823113802674925,
546,0.005074829021652905,0.022830860962585575,0.0229473146609962,0.02666125916493911,0.4926739926739927,0.010574506785188481,JP,seed71_train_cal,28,2022-08-29,2022-09-28,0.000703030761853296,0.0152209252519242,
546,0.0019270649684730579,0.025375121437718917,0.025424115359783173,0.03053952758818923,0.4926739926739927,0.011664632925260333,JP,seed71_train_cal,29,2022-09-29,2022-10-28,-0.006270073251023689,0.017747921676345868,
286,-0.005724996158640083,0.025912798546187332,0.02576529234647751,0.030688018901400937,0.5174825174825175,0.01033786825180183,JP,seed71_train_cal,30,2022-10-31,2022-11-15,0.0037385310708434316,0.023638207952899393,
546,0.01195093853946394,0.03596549066060106,0.0364005109295249,0.04005913677247008,0.5366300366300366,0.14463835281545176,JP,seed82_raw,0,2020-04-01,2020-04-30,0.012045121493038713,0.026506610738579184,
545,-0.015711456431323212,0.03234710746910423,0.031846748664975166,0.03600042631151155,0.5339449541284403,0.05502432790471953,JP,seed82_raw,1,2020-05-01,2020-06-03,-0.007945066718935356,0.025328212545719,
546,-0.008558330171730466,0.029416636050882516,0.029167015105485916,0.03544224498182302,0.47435897435897434,0.05093175139845925,JP,seed82_raw,2,2020-06-04,2020-07-02,0.007472185998268821,0.021189880062593147,
545,0.003279354370430365,0.026594551184098238,0.026682051084935668,0.029755723907146602,0.5229357798165137,0.03734882475760571,JP,seed82_raw,3,2020-07-03,2020-08-04,-0.007050356426683058,0.020843475396031867,
